usuario,ronda,iteracion,sliderDissatisfiedSatisfied,sliderBoredExcited,time,risk,arrival,global_id
AEHM,1,0,25,75,0.4984615284837905,0.6634833487600097,0.19823301279341907,17
AEHM,1,1,100,100,0.5255373137825703,0.6452670144837881,0.2768108646941967,17
AEHM,1,2,0,75,0.45749702791405916,0.7946569601331365,0.08534473351778746,17
AEHM,1,3,25,75,0.49299214077334197,0.7068230395052644,0.07178876097302342,17
AEHM,2,0,100,50,0.4984615284837905,0.6634833487600097,0.19823301279341907,17
AEHM,2,1,0,75,0.5255373137825703,0.6452670144837881,0.2768108646941967,17
AEHM,2,2,0,25,0.45749702791405916,0.7946569601331365,0.08534473351778746,17
AEHM,2,3,100,100,0.49299214077334197,0.7068230395052644,0.07178876097302342,17
SLB,0,0,75,50,0.5255373137825703,0.6452670144837881,0.2768108646941967,18
SLB,0,1,25,50,0.4984615284837905,0.6634833487600097,0.19823301279341907,18
SLB,0,2,75,75,0.4846596000512216,0.9272238212895264,0.1449310118720613,18
SLB,0,3,75,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,18
CHGR,0,0,0,25,0.5255373137825703,0.6452670144837881,0.2768108646941967,19
CHGR,0,1,0,0,0.4984615284837905,0.6634833487600097,0.19823301279341907,19
CHGR,0,2,100,100,0.4846596000512216,0.9272238212895264,0.1449310118720613,19
CHGR,0,3,100,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,19
RLS,0,0,25,50,0.5255373137825703,0.6452670144837881,0.2768108646941967,20
RLS,0,1,0,50,0.4984615284837905,0.6634833487600097,0.19823301279341907,20
RLS,0,2,100,75,0.4846596000512216,0.9272238212895264,0.1449310118720613,20
RLS,0,3,100,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,20
EIOR,0,0,25,25,0.5255373137825703,0.6452670144837881,0.2768108646941967,21
EIOR,0,1,0,75,0.4984615284837905,0.6634833487600097,0.19823301279341907,21
EIOR,0,2,0,50,0.4846596000512216,0.9272238212895264,0.1449310118720613,21
EIOR,0,3,75,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,21
EIOR,1,0,100,75,0.4595593475463711,0.868748699972358,0.2627338334810066,21
EIOR,1,1,25,0,0.4597135588354613,0.8667269593721654,0.2885390361195653,21
EIOR,1,2,100,75,0.458904671142526,0.8955263303423449,0.3041781438270339,21
EIOR,1,3,0,0,0.45818913617361284,0.8999651727342828,0.2728599727503848,21
ERR,0,0,50,25,0.5255373137825703,0.6452670144837881,0.2768108646941967,22
ERR,0,1,50,25,0.4984615284837905,0.6634833487600097,0.19823301279341907,22
ERR,0,2,75,50,0.4846596000512216,0.9272238212895264,0.1449310118720613,22
ERR,0,3,75,50,0.45818913617361284,0.8999651727342828,0.2728599727503848,22
MO,0,0,25,75,0.5255373137825703,0.6452670144837881,0.2768108646941967,23
MO,0,1,0,0,0.4984615284837905,0.6634833487600097,0.19823301279341907,23
MO,0,2,0,0,0.4846596000512216,0.9272238212895264,0.1449310118720613,23
MO,0,3,25,50,0.45818913617361284,0.8999651727342828,0.2728599727503848,23
MO,1,0,75,75,0.5255373137825703,0.6452670144837881,0.2768108646941967,23
MO,1,1,0,0,0.4984615284837905,0.6634833487600097,0.19823301279341907,23
MO,1,2,25,0,0.4846596000512216,0.9272238212895264,0.1449310118720613,23
MO,1,3,100,100,0.45818913617361284,0.8999651727342828,0.2728599727503848,23
MO,2,0,100,100,0.4595593475463711,0.868748699972358,0.2627338334810066,23
MO,2,1,100,100,0.4597135588354613,0.8667269593721654,0.2885390361195653,23
MO,2,2,100,100,0.458904671142526,0.8955263303423449,0.3041781438270339,23
MO,2,3,100,100,0.45818913617361284,0.8999651727342828,0.2728599727503848,23
AM,0,0,100,75,0.5255373137825703,0.6452670144837881,0.2768108646941967,24
AM,0,1,0,0,0.4984615284837905,0.6634833487600097,0.19823301279341907,24
AM,0,2,50,50,0.4846596000512216,0.9272238212895264,0.1449310118720613,24
AM,0,3,75,25,0.45818913617361284,0.8999651727342828,0.2728599727503848,24
CARE,0,0,25,75,0.5255373137825703,0.6452670144837881,0.2768108646941967,25
CARE,0,1,0,25,0.4984615284837905,0.6634833487600097,0.19823301279341907,25
CARE,0,2,100,75,0.4846596000512216,0.9272238212895264,0.1449310118720613,25
CARE,0,3,100,50,0.45818913617361284,0.8999651727342828,0.2728599727503848,25
CARE,1,0,75,50,0.459167682928114,0.8651705018746499,0.1011079520794157,25
CARE,1,1,0,25,0.45307523226941504,0.9444322826768645,0.27506205796285244,25
CARE,1,2,100,50,0.4399801697010422,0.9810597352117704,0.1981399600820706,25
CARE,1,3,100,50,0.4548557836209679,0.9298478876940789,0.04792883266966079,25
CARE,2,0,75,75,0.43489629163087073,0.8175859038955056,0.0975142348637857,25
CARE,2,1,0,75,0.45749702791405916,0.7946569601331365,0.08534473351778746,25
CARE,2,2,0,100,0.43709547413557837,0.7996789342873667,0.029095970087296107,25
CARE,2,3,100,50,0.4483187358474537,0.8566280602931865,0.01865252249225225,25
JCT,0,0,50,75,0.5255373137825703,0.6452670144837881,0.2768108646941967,26
JCT,0,1,0,25,0.4984615284837905,0.6634833487600097,0.19823301279341907,26
JCT,0,2,75,75,0.4846596000512216,0.9272238212895264,0.1449310118720613,26
JCT,0,3,100,100,0.45818913617361284,0.8999651727342828,0.2728599727503848,26
JCT,1,0,75,75,0.4595593475463711,0.868748699972358,0.2627338334810066,26
